"key","ID","dataset","TL_mm","width_mm","height_mm","weight_g","gonads_g","pred.eggs","pred.age","age","class"
163,"42742","batch",311.7096477597952,63.564382313371915,99.66358331059541,1607.5,NA,5795,18.5500003217688,NA,7
164,"42743","batch",319.71963735483587,64.3642587819265,111.31811676707315,1607.5,NA,6476,19.46657079126385,NA,7
165,"42744","batch",322.1348568368703,55.22514210136182,129.41269507015858,1607.5,NA,6693,19.748316604940406,NA,7
166,"43811","batch",335.9149810280651,78.83391528429445,121.27095564897402,1630,NA,8041,21.406475628947412,NA,8
167,"44621","batch",254.12661554501392,42.96615113744875,87.45153316169898,1285,NA,2368,12.652118561078456,NA,6
168,"44622","batch",267.4388870925177,40.318559228995746,93.78189400624474,1285,NA,2962,13.919762871600806,NA,6
169,"45731","batch",318.36942271888256,57.29577540007039,109.63637700153669,1353.3333333333333,NA,6357,19.310165800859632,NA,7
170,"45732","batch",309.1027680039406,57.39846536978495,99.31644553488574,1353.3333333333333,NA,5586,18.25742297265841,NA,7
171,"45733","batch",316.1299389395863,73.99667294067865,132.18295622283728,1353.3333333333333,NA,6164,19.052469330595734,NA,7
172,"46631","batch",292.1901131463237,52.99348671060143,99.01746461029036,1206.6666666666667,NA,4366,16.423226578134454,NA,6
173,"46632","batch",292.95045157079585,55.214130513645166,100.11143894136687,1206.6666666666667,NA,4416,16.50340866742027,NA,6
174,"46633","batch",270.1766047703568,47.20782616161387,82.8691756966789,1206.6666666666667,NA,3097,14.186978072497691,NA,6
175,"47711","batch",310.13185325451195,54.363513249840054,107.29104333769736,1200,NA,5668,18.372592024706254,NA,7
176,"48811","batch",347.49069022387266,64.53398247870562,122.40959810482373,1670,NA,9327,22.871006079505793,NA,8
177,"49621","batch",282.5714723826386,54.74662538577413,96.27781266421498,1260,NA,3770,15.426312104014531,NA,6
178,"49622","batch",287.31285378709435,64.19493674003047,89.01977805177688,1260,NA,4055,15.913741662876067,NA,6
179,"50741","batch",315.5272827167064,64.30270812111438,124.60542084470237,1545,NA,6112,18.98348439948671,NA,7
180,"50742","batch",322.67395867593586,67.38905722713686,127.70949736672657,1545,NA,6742,19.81155455327838,NA,7
181,"50743","batch",308.0495237223804,48.94466287530191,113.01615673586177,1545,NA,5503,18.13998942010166,NA,7
182,"50744","batch",305.59024263732135,61.54327649127068,99.89043120678697,1545,NA,5313,17.867498402354485,NA,7
183,"51721","batch",322.2748226393014,60.487430532010734,119.2741295721904,975,NA,6706,19.76472259814219,NA,7
184,"51722","batch",313.0801476575434,48.67081464119076,108.48433775143823,975,NA,5907,18.704924475872133,NA,7
185,"52731","batch",322.0493810325861,62.429984577697894,111.57049968503458,1216.6666666666667,NA,6685,19.738301866195947,NA,7
186,"52732","batch",305.5406469386071,54.39828471656902,116.85990611385398,1216.6666666666667,NA,5309,17.86202758890461,NA,7
187,"52733","batch",319.19447325728834,68.36686805485763,104.2123429096136,1216.6666666666667,NA,6430,19.40564394013953,NA,7
188,"53721","batch",318.38797342404723,53.58470382458854,108.76624109479455,1100,NA,6359,19.31230934981054,NA,7
189,"53722","batch",323.64939563907683,56.68688000558467,109.30730405995476,1100,NA,6832,19.926302952730172,NA,7
190,"54661","batch",277.834682763787,44.577648447227375,96.08223905468468,998.3333333333334,NA,3501,14.946852984222122,NA,6
191,"54662","batch",285.8754495184403,50.04483915757774,89.7204747715402,998.3333333333334,NA,3967,15.765164567086746,NA,6
192,"54663","batch",270.05634989147075,49.683949914459056,88.78284024765797,998.3333333333334,NA,3091,14.175192328973399,NA,6
193,"54664","batch",255.94278318295255,41.170665563842505,91.3326711319982,998.3333333333334,NA,2443,12.822052094526427,NA,6
194,"54665","batch",296.43780234083533,58.32115089781937,106.55951260791981,998.3333333333334,NA,4650,16.873837320627437,NA,6
195,"54666","batch",264.8783925152384,40.78730982201637,85.32848966621508,998.3333333333334,NA,2840,13.6719029814309,NA,6
196,"55751","batch",315.17375581152737,51.33878003931389,115.08910103449196,1242,NA,6082,18.94308781163318,NA,7
197,"55752","batch",303.648654518649,64.15127457045904,91.08141928939598,1242,NA,5167,17.654039445129904,NA,7
198,"55753","batch",321.172168770805,52.719729604597504,111.07176111648548,1242,NA,6606,19.635709273232088,NA,7
199,"55754","batch",308.6311284266412,58.56822286993057,113.43279671850252,1242,NA,5549,18.204781847046856,NA,7
200,"55755","batch",319.78843208774924,56.15694832563613,108.29508793005276,1242,NA,6482,19.474560838411264,NA,7
201,"56751","batch",307.42019697651267,58.270887459344905,107.64773450622339,1230,NA,5454,18.070032086181033,NA,7
202,"56752","batch",306.24748683720827,66.5788252868776,97.04293422458895,1230,NA,5363,17.94008871664173,NA,7
203,"56753","batch",313.4031240735203,67.73682572424575,116.46392568703284,1230,NA,5934,18.741546852152275,NA,7
204,"56754","batch",307.45481420867145,53.807592307410765,95.90103617874217,1230,NA,5457,18.073876132876922,NA,7
205,"56755","batch",305.34803985618055,43.218439609324385,104.86882092425256,1230,NA,5295,17.840790549513326,NA,7
206,"57761","batch",313.445827299729,74.74151266890654,108.57037119214814,1011.6666666666666,NA,5938,18.746392205672255,NA,7
207,"57762","batch",314.50679045915604,61.60747288691452,111.21617159956773,1011.6666666666666,NA,6026,18.86701778184787,NA,7
208,"57763","batch",304.0997645072639,58.32521741779704,101.09788158656045,1011.6666666666666,NA,5200,17.70350437719569,NA,7
209,"57764","batch",307.1528224963695,55.61471498932795,121.12938810723986,1011.6666666666666,NA,5433,18.04035764065183,NA,7
210,"57765","batch",318.2304466236383,61.452622171736024,102.51840380036299,1011.6666666666666,NA,6345,19.29411169073238,NA,7
211,"57766","batch",324.073838474229,58.428951731652944,116.57283653254515,1011.6666666666666,NA,6871,19.97636581063233,NA,7
212,"58731","batch",303.4033803176135,57.41012235558074,88.10044979014667,1113.3333333333333,NA,5149,17.627177661560232,NA,7
213,"58732","batch",319.3173445481807,55.939945934436615,112.76799768431064,1113.3333333333333,NA,6441,19.4198881641035,NA,7
214,"58733","batch",323.75119251199067,51.24254521958678,118.351289029665,1113.3333333333333,NA,6841,19.93830252029047,NA,7
215,"59831","batch",345.64723252132535,71.58900562045484,115.33118222986074,1473.3333333333333,NA,9112,22.63311775321269,NA,8
216,"59832","batch",333.3990159370005,72.53956665728033,123.98068992357624,1473.3333333333333,NA,7780,21.097069777031237,NA,8
217,"59833","batch",341.5899070519954,61.355242747875266,124.51247754809444,1473.3333333333333,NA,8653,22.11585389580108,NA,8
218,"60571","batch",247.7144171046093,37.3932151116996,89.41183540738595,615.7142857142857,NA,2117,12.05945466859352,NA,5
219,"60572","batch",247.73289985139854,45.877339605724146,79.6227111582635,615.7142857142857,NA,2118,12.061146882475278,NA,5
220,"60573","batch",217.65898096747696,36.36021134314643,67.98137760434258,615.7142857142857,NA,1201,9.422575863969719,NA,5
221,"60574","batch",213.86123139574192,29.661810478561943,63.292243599954915,615.7142857142857,NA,1112,9.104723476625557,NA,5
222,"60575","batch",209.10724272578955,34.794573271889625,67.6348438614518,615.7142857142857,NA,1007,8.711355694357508,NA,5
223,"60576","batch",216.78623477439396,33.9678348923259,66.09527708310029,615.7142857142857,NA,1180,9.349243900652567,NA,5
224,"60577","batch",225.99613512097858,36.87529196269179,78.93007046474594,615.7142857142857,NA,1416,10.131940655442532,NA,5
225,"61671","batch",296.2744550963398,47.04207478774925,103.84961439527162,841.4285714285714,NA,4639,16.856387791149086,NA,6
226,"61672","batch",276.0370252192952,59.35732285365786,109.51531329031955,841.4285714285714,NA,3403,14.766807967259776,NA,6
227,"61673","batch",263.6234417804517,44.57250665516551,83.87140218694393,841.4285714285714,NA,2781,13.551138152144336,NA,6
228,"61674","batch",253.27658346062526,36.99162269493401,92.95141016154821,841.4285714285714,NA,2334,12.572900865521632,NA,6
229,"61675","batch",271.4749566586688,48.9113846906453,90.33138943406138,841.4285714285714,NA,3163,14.31450958036417,NA,6
230,"61676","batch",292.8460736114066,54.04857545462745,92.94647082553557,841.4285714285714,NA,4409,16.492389178760387,NA,6
231,"61677","batch",268.0143032085616,42.38283034606057,95.46777221637541,841.4285714285714,NA,2990,13.975736485786832,NA,6
232,"62751","batch",304.1546156927943,40.30113620056844,97.2617423477336,1270,NA,5205,17.70952425658235,NA,7
233,"62752","batch",309.98768474906683,52.566389513153446,101.85322471744436,1270,NA,5656,18.356431881258597,NA,7
234,"62753","batch",316.15408548153937,61.36049349303209,106.36675198194648,1270,NA,6166,19.05523652559998,NA,7
235,"62754","batch",310.3618944082409,56.04615596035582,110.57226599164143,1270,NA,5686,18.39839518182499,NA,7
236,"62755","batch",317.5510683711618,57.40091571512189,105.11455417223893,1270,NA,6286,19.215750766378438,NA,7
237,"63721","batch",317.5459218993783,61.62692051783391,119.99710332633327,1275,NA,6286,19.215157913027756,NA,7
238,"63722","batch",314.3176149558276,50.409789918597255,102.55868459056278,1275,NA,6010,18.8454753409836,NA,7
239,"64521","batch",222.05159598146565,42.14080568730677,75.04532453865534,585,NA,1311,9.794306445003965,NA,5
240,"64522","batch",223.18328307755291,37.65252907649428,75.13540845396696,585,NA,1340,9.890799851070854,NA,5
241,"65621","batch",266.0157196854707,50.40791136565232,85.25233395619021,925,NA,2894,13.781754673638172,NA,6
