otolith.vial,transect,obs,FL_mm,TL_mm,width_mm,height_mm,weight_g,health,colour,notes,ID,PIT.HEX,PIT.DEC,Sex,Eggs,Gonad.Mass.g,Bodywally.Thickness..mm.,Searcher,MergeNotes,Otoliths,Picture_O1,Otolith.Analysis_O1,Age.First.Read_O1,Certainty_O1,Notes.Read_O1,First.Read.Date,Picture_O2,Otolith.Analysis_O2,Age.First.Read_O2,Certainty_O2,NotesO2,AgeDiff,ReadToUse,use.age,oto
68,,18-19,297,336,54,117,704,,gold,,76,998461DF,99295,M,N,NA,8,JM,,2,Y,lapilli - R,22,2,"same dark core and faded edge problem but based on the notches and bands down the anti-rostrum, there seem to be near 20",28/8/2025,Y,lapilli - L,NA,NA,core is way too dark but there is big risk losing bands on the edge with more sanding,,,22,l
69,,13,319,351,57,115,700,,gold,,77,99846045,98885,M,N,NA,7,JM,,1,Y,lapilli - L,9,2,,28/8/2025,,,NA,NA,,,,9,l
70,,18-19,287,316,56,114,570,,gold,,44,99846065,98917,M,N,NA,11,JG,,1,Y,lapilli - L,21,4,"lots of rings and false annuli with dark core, had trouble reading this one",28/8/2025,,,NA,NA,,,DROP,,
71,,18-19,353,386,84,154,1650,,gold,,69,998461CE,99278,F,Y,49.2,15,JG,,2,Y,lapilli - L,26,3,"core is very small, and rings are better seen through camera",28/8/2025,Y,asteriscii - R,19,2,,7,O2,19,a
72,,18-19,351,382,74,138,1150,,orange,,46,998461AF,99247,F,Y,68.2,10,JG,,2,Y,lapilli - R,23,3,faded edge,28/8/2025,Y,lapilli - L,13,4,dark and lots of false annuli,10,O1,23,l
73,,18-19,357,383,71,148,1430,,orange-black,,51,998461A2,99234,F,Y,118.2,13,JG,,2,Y,lapilli - R,21,4,core is extremely dark,28/8/2025,Y,lapilli - L,18,3,,3,O2,18,l
74,,18-19,291,334,58,106,670,,gold,,45,998550EF,160495,F,Y,37.9,8,JG,,2,Y,lapilli - R,19,3,lots of false annuli throughout rostrum,28/8/2025,Y,lapilli - L,16,3,"dark core, faded edge ",3,O1,19,l
75,,18-19,352,396,76,146,1750,,orange-black,,53,99846127,99111,F,Y,115.2,11,JG,,1,Y,lapilli - L,17,3,unclear core,28/8/2025,,,NA,NA,,,,17,l
76,,12,354,392,73,141,1420,no eye,gold,,115,998551D7,160727,F,Y,87.7,12,JG,,2,Y,lapilli - R,25,2,,28/8/2025,N,,NA,NA,found broken but was able to mount it,,,25,l
77,,18-19,351,387,73,143,1350,,gold,,66,9984614B,99147,F,Y,98.1,13,JG,,2,Y,lapilli - R,26,4,"it's definitely old because the core is barely visible but there is so many false annuli and it's strangely colored, it's probable this is older",28/8/2025,Y,lapilli - L,20,2,rings are clearer from anti-rostrum to core,6,O2,20,l
78,,18-19,297,333,58,113,690,,gold,,68,998460B2,98994,F,Y,55.7,8,JG,,1,Y,lapilli - L,19,4,"the core is so small, i think it has to be older but i can't see the rings in the dark center very well",28/8/2025,,,NA,NA,,,DROP,,
