"key","ID","dataset","TL_mm","width_mm","est_width_mm","weight_g","gonads_g","pred.eggs","age","class"
190,"54661","batch",296.3744168272242,NA,54.18917369184046,998.3333333333334,NA,4646,NA,6
191,"54662","batch",295.97162942495197,NA,54.103040520615366,998.3333333333334,NA,4619,NA,6
192,"54663","batch",284.47892965516075,NA,51.64540984119045,998.3333333333334,NA,3883,NA,6
193,"54664","batch",282.75428009964526,NA,51.27660601408339,998.3333333333334,NA,3781,NA,6
194,"54665","batch",299.3278640611097,NA,54.820747010334244,998.3333333333334,NA,4852,NA,6
195,"54666","batch",293.4967181920074,NA,53.57379866302106,998.3333333333334,NA,4452,NA,6
196,"55751","batch",322.9426967687905,NA,59.87060809732037,1242,NA,6767,NA,7
197,"55752","batch",318.5240753367543,NA,58.92571787921162,1242,NA,6371,NA,7
198,"55753","batch",314.06077769584954,NA,57.971273977133436,1242,NA,5989,NA,7
199,"55754","batch",307.9892111904919,NA,56.67291341654892,1242,NA,5498,NA,7
200,"55755","batch",324.64413421973586,NA,60.23444818383834,1242,NA,6925,NA,7
201,"56751","batch",323.42737327329814,NA,59.974252660472146,1230,NA,6812,NA,7
202,"56752","batch",301.8509818390012,NA,55.36029748872119,1230,NA,5034,NA,7
203,"56753","batch",305.08958650939167,NA,56.052849661484075,1230,NA,5275,NA,7
204,"56754","batch",318.7496026176959,NA,58.97394525622413,1230,NA,6391,NA,7
205,"56755","batch",301.6587220802903,NA,55.31918413059897,1230,NA,5020,NA,7
206,"57761","batch",309.6655184160918,NA,57.03137958623037,1011.6666666666666,NA,5630,NA,7
207,"57762","batch",305.4551001843065,NA,56.13101211584326,1011.6666666666666,NA,5303,NA,7
208,"57763","batch",304.6970130223781,NA,55.968900662124554,1011.6666666666666,NA,5245,NA,7
209,"57764","batch",309.82352747768164,NA,57.065168680626726,1011.6666666666666,NA,5643,NA,7
210,"57765","batch",312.3928867839277,NA,57.61460757522781,1011.6666666666666,NA,5851,NA,7
211,"57766","batch",314.4801965691149,NA,58.06096366807762,1011.6666666666666,NA,6024,NA,7
212,"58731","batch",324.11821753904223,NA,60.12198470744167,1113.3333333333333,NA,6876,NA,7
213,"58732","batch",316.81849407963455,NA,58.56099166972969,1113.3333333333333,NA,6223,NA,7
214,"58733","batch",305.75113693997264,NA,56.19431743378735,1113.3333333333333,NA,5325,NA,7
215,"59831","batch",343.1727969441563,NA,64.196668625718,1473.3333333333333,NA,8830,NA,8
216,"59832","batch",332.79554623924196,NA,61.977568656925854,1473.3333333333333,NA,7719,NA,8
217,"59833","batch",344.6307769883424,NA,64.5084471075678,1473.3333333333333,NA,8995,NA,8
218,"60571","batch",232.47306775697507,NA,40.52433261207232,615.7142857142857,NA,1603,NA,5
219,"60572","batch",218.04177627456374,NA,37.43830535987501,615.7142857142857,NA,1210,NA,5
220,"60573","batch",226.19169975141995,NA,39.1811075188886,615.7142857142857,NA,1421,NA,5
221,"60574","batch",203.860244930489,NA,34.405687505884266,615.7142857142857,NA,901,NA,5
222,"60575","batch",231.35968391457573,NA,40.28624353432151,615.7142857142857,NA,1569,NA,5
223,"60576","batch",221.1565841329284,NA,38.10438448023559,615.7142857142857,NA,1288,NA,5
224,"60577","batch",246.0660111256875,NA,43.43108518681917,615.7142857142857,NA,2056,NA,5
225,"61671","batch",295.8409029438626,NA,54.07508560863002,841.4285714285714,NA,4610,NA,6
226,"61672","batch",261.69629962625913,NA,46.77350927486833,841.4285714285714,NA,2693,NA,6
227,"61673","batch",265.6754748306703,NA,47.62442709723005,841.4285714285714,NA,2878,NA,6
228,"61674","batch",280.78039923333563,NA,50.85450587471288,841.4285714285714,NA,3667,NA,6
229,"61675","batch",275.84902140917256,NA,49.799966412683666,841.4285714285714,NA,3393,NA,6
230,"61676","batch",285.3749836771749,NA,51.83702450954823,841.4285714285714,NA,3937,NA,6
231,"61677","batch",254.97876597428694,NA,45.33701331448913,841.4285714285714,NA,2403,NA,6
232,"62751","batch",302.28783847391605,NA,55.453716118806625,1270,NA,5066,NA,7
233,"62752","batch",319.1647840477526,NA,59.06272880060217,1270,NA,6427,NA,7
234,"62753","batch",324.60143417306244,NA,60.22531708785398,1270,NA,6921,NA,7
235,"62754","batch",302.81032814644277,NA,55.56544675430618,1270,NA,5105,NA,7
236,"62755","batch",324.3599561024457,NA,60.173678749896524,1270,NA,6898,NA,7
237,"63721","batch",306.70278692245483,NA,56.39782089597384,1275,NA,5398,NA,7
238,"63722","batch",322.68296911008656,NA,59.8150672170127,1275,NA,6743,NA,7
239,"64521","batch",201.84967684024014,NA,33.9757420691596,585,NA,863,NA,5
240,"64522","batch",228.30425970535725,NA,39.63286317760404,585,NA,1481,NA,5
241,"65621","batch",297.4534200227354,NA,54.41991071704807,925,NA,4721,NA,6
242,"65622","batch",255.17644500220194,NA,45.37928554411439,925,NA,2411,NA,6
243,"66821","batch",347.49858835712075,NA,65.12170781600805,1510,NA,9327,NA,8
244,"66822","batch",327.7088616602123,NA,60.88981796923795,1510,NA,7215,NA,8
245,"67751","batch",302.030345313251,NA,55.39865306973475,1134,NA,5047,NA,7
246,"67752","batch",324.00928659923375,NA,60.0986906142369,1134,NA,6865,NA,7
247,"67753","batch",312.18084812536836,NA,57.569264642502006,1134,NA,5834,NA,7
248,"67754","batch",320.5504214223474,NA,59.35903732606397,1134,NA,6550,NA,7
249,"67755","batch",301.092360811308,NA,55.198071871672,1134,NA,4979,NA,7
250,"68751","batch",321.51085809245706,NA,59.56441975781517,1300,NA,6637,NA,7
251,"68752","batch",310.4286392573267,NA,57.194567455842815,1300,NA,5691,NA,7
252,"68753","batch",314.9014512132853,NA,58.15104592534537,1300,NA,6059,NA,7
253,"68754","batch",319.6042979750782,NA,59.15671567344029,1300,NA,6466,NA,7
254,"68755","batch",312.5833401363343,NA,57.65533464643384,1300,NA,5867,NA,7
255,"69751","batch",301.2796732801944,NA,55.238127287666074,1144,NA,4993,NA,7
256,"69752","batch",310.2514822073281,NA,57.156683702688696,1144,NA,5677,NA,7
257,"69753","batch",324.52914183959365,NA,60.20985789548152,1144,NA,6914,NA,7
258,"69754","batch",320.1591663416475,NA,59.275370258354044,1144,NA,6515,NA,7
259,"69755","batch",303.49415211007,NA,55.71167756047008,1144,NA,5155,NA,7
260,"70541","batch",217.85233971406706,NA,37.39779572226095,775,NA,1205,NA,5
261,"70542","batch",239.94205278577283,NA,42.12152101154551,775,NA,1841,NA,5
262,"70543","batch",213.06483632908203,NA,36.37402276790981,775,NA,1094,NA,5
263,"70544","batch",221.20635647582822,NA,38.11502793558965,775,NA,1289,NA,5
264,"71831","batch",331.62846752628684,NA,61.72799731966691,1430,NA,7601,NA,8
265,"71832","batch",349.0735402069986,NA,65.45849987204443,1430,NA,9514,NA,8
266,"71833","batch",341.34074914082885,NA,63.80489846049838,1430,NA,8625,NA,8
267,"72521","batch",209.4244635545183,NA,35.59555539344419,660,NA,1014,NA,5
268,"72522","batch",231.54534539277665,NA,40.3259458979048,660,NA,1575,NA,5
269,"73611","batch",276.157704673009,NA,49.86597609488415,870,NA,3409,NA,6
270,"74761","batch",309.76128738187253,NA,57.05185908653527,1055,NA,5638,NA,7
271,"74762","batch",308.13390804082155,NA,56.703855790900434,1055,NA,5509,NA,7
272,"74763","batch",317.9229304715991,NA,58.79716739995281,1055,NA,6318,NA,7
273,"74764","batch",323.20090413466096,NA,59.925823874007136,1055,NA,6791,NA,7
274,"74765","batch",315.4260518401861,NA,58.263227973162,1055,NA,6104,NA,7
275,"74766","batch",321.26236181519926,NA,59.51128062715442,1055,NA,6614,NA,7
276,"75511","batch",239.94511433364823,NA,42.12217570140393,1220,NA,1841,NA,5
277,"76621","batch",281.08914761804044,NA,50.92052948253981,720,NA,3684,NA,6
278,"76622","batch",266.4265158593189,NA,47.78503178633586,720,NA,2913,NA,6
279,"77731","batch",317.4456002637744,NA,58.69509378918558,1260,NA,6277,NA,7
