"dataset","ID","TL_mm","FL_mm","SL_mm","width_mm","height_mm","weight_g","sex","eggs","gonads_g","bodywall_mm","use.age","age.diff","oto"
"DFO","9999",208,190,NA,34,75,180,"M","N",NA,4,4,-4,"a"
"DFO","9988",148,136,NA,22,46,51,NA,"N",NA,2,11,NA,"l"
"DFO","9987",166,151,NA,23,51,69,NA,"N",NA,2,14,2,"l"
"DFO","9986",170,153,NA,26,55,77,"M","N",NA,2,12,4,"l"
"DFO","9985",204,187,NA,30,67,124,"F","Y",9.2,3,15,0,"l"
"DFO","9984",205,186,NA,32,66,146,"M","N",NA,2,NA,NA,NA
"DFO","9983",207,188,NA,32,73,160.5,"M","N",NA,4,18,-5,"l"
"DFO","9982",226,206,NA,38,80,220,"F","Y",25.5,3,17,2,"a"
"DFO","9981",267,250,NA,41,92,329,"M","N",NA,4,NA,NA,NA
"DFO","9980",273,242,NA,55,98,444,"M","N",NA,5,9,NA,"a"
"DFO","9979",284,254,NA,52,90,433,"F","Y",50.1,4,18,2,"l"
"DFO","9978",285,266,NA,51,97,513,"F","Y",15.5,5,14,3,"a"
"DFO","9977",296,267,NA,44,100,420,"M","N",NA,5,17,-4,"l"
"DFO","9976",259,238,NA,55,92,360,"F","Y",22,7,NA,NA,NA
"SN","RBGBBM01",150,NA,120,NA,NA,10.1595,"F",NA,NA,NA,4,NA,NA
"SN","RBGBBM02",160,NA,125,NA,NA,13.0185,"F",NA,NA,NA,4,NA,NA
"SN","RBGBBM03",145,NA,115,NA,NA,9.3813,"M",NA,NA,NA,4,NA,NA
"SN","RBGBBM05",175,NA,138,NA,NA,22.2961,"F",NA,NA,NA,3,NA,NA
"SN","RBGBBM08",190,NA,142,NA,NA,27.528,"F",NA,NA,NA,4,NA,NA
"SN","RBGBBM09",195,NA,146,NA,NA,32.9206,"F",NA,NA,NA,4,NA,NA
"SN","RBGBBM13",200,NA,150,NA,NA,26.8487,"F",NA,NA,NA,6,NA,NA
"SN","RBGBBM14",180,NA,130,NA,NA,22.0888,"F",NA,NA,NA,5,NA,NA
"SN","RBGBBM15",195,NA,145,NA,NA,32.8787,"F",NA,NA,NA,6,NA,NA
"SN","RBGBBM16",178,NA,134,NA,NA,15.9843,"F",NA,NA,NA,3,NA,NA
"SN","RBGBBM19",163,NA,127,NA,NA,14.8485,"F",NA,NA,NA,5,NA,NA
"SN","RBGBBM22",176,NA,140,NA,NA,22.9897,"F",NA,NA,NA,4,NA,NA
"SN","RBGBBM24",162,NA,123,NA,NA,16.0254,"F",NA,NA,NA,3,NA,NA
"SN","RBGBBM25",160,NA,128,NA,NA,17.3136,"F",NA,NA,NA,4,NA,NA
"SN","RBGBBM26",174,NA,135,NA,NA,21.9836,"F",NA,NA,NA,4,NA,NA
"SN","RBGBBM27",168,NA,130,NA,NA,15.9292,"F",NA,NA,NA,4,NA,NA
"SN","RBGBBM28",195,NA,150,NA,NA,27.4039,"F",NA,NA,NA,4,NA,NA
"SN","RBGBBM29",174,NA,133,NA,NA,21.2541,"F",NA,NA,NA,5,NA,NA
"SN","RBGBBM31",192,NA,146,NA,NA,27.4245,"M",NA,NA,NA,4,NA,NA
"SN","RBGBBM32",171,NA,134,NA,NA,19.5919,"M",NA,NA,NA,4,NA,NA
"SN","RBGBBM33",170,NA,125,NA,NA,17.1998,"M",NA,NA,NA,3,NA,NA
"SN","RBGBBM34",200,NA,150,NA,NA,31.9214,"M",NA,NA,NA,4,NA,NA
"SN","RBGBBM35",177,NA,136,NA,NA,23.4701,"F",NA,NA,NA,3,NA,NA
"SN","RBGBBM36",195,NA,146,NA,NA,29.2591,"F",NA,NA,NA,4,NA,NA
"SN","RBGBBM40",182,NA,136,NA,NA,25.0582,"F",NA,NA,NA,5,NA,NA
"SN","RBGBBM42",180,NA,133,NA,NA,16.5958,"F",NA,NA,NA,5,NA,NA
"SN","RBGBBM46",144,NA,115,NA,NA,12,"F",NA,NA,NA,4,NA,NA
"SN","RBGBBM48",155,NA,113,NA,NA,14,"F",NA,NA,NA,4,NA,NA
"SN","RBGBBM50",145,NA,107,NA,NA,10,"F",NA,NA,NA,3,NA,NA
"SN","RBGBBM51",155,NA,122,NA,NA,13,"F",NA,NA,NA,4,NA,NA
"SN","RBGBBM52",138,NA,106,NA,NA,7,"F",NA,NA,NA,3,NA,NA
"SN","RBG70",65,NA,50,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
"SN","RBG71",52,NA,40,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
"SN","RBG72",51,NA,38,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
"SN","RBG73",60,NA,45,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
"SN","RBG74",60,NA,45,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
"SN","RBG75",45,NA,35,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
"SN","RBG76",65,NA,45,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
"SN","RBG77",62,NA,47,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
"SN","RBG78",60,NA,45,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
"SN","RBG79",67,NA,47,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
"SN","RBG84",175,NA,132,NA,NA,NA,NA,NA,NA,NA,9,NA,NA
"SN","RBG90",200,NA,150,NA,NA,NA,NA,NA,NA,NA,10,NA,NA
"SN","RBG91",165,NA,132,NA,NA,NA,NA,NA,NA,NA,11,NA,NA
"SN","RBG92",160,NA,125,NA,NA,NA,NA,NA,NA,NA,10,NA,NA
"SN","RBG93",165,NA,130,NA,NA,NA,NA,NA,NA,NA,9,NA,NA
"SN","RBG94",190,NA,140,NA,NA,NA,NA,NA,NA,NA,10,NA,NA
"SN","RBG95",195,NA,150,NA,NA,NA,NA,NA,NA,NA,8,NA,NA
"SN","RBG96",185,NA,150,NA,NA,NA,NA,NA,NA,NA,8,NA,NA
"SN","RBG97",190,NA,150,NA,NA,NA,NA,NA,NA,NA,11,NA,NA
